,KALCODE,Result,Average_Fuel_Price
156,07020201,"[1, 0, 0, 1, 1, 2, 0]",1.5921035759341111
157,07030101,"[1, 2, 0]",1.633782423208191
158,07030103,"[0, 0, 1, 0, 2, 0, 0]",1.7159872146715456
159,07030201,"[0, 2, 1]",1.6613843081312412
160,07030202,"[1, 2, 1, 1, 0]",1.6238739814288423
161,07030301,"[2, 1, 1, 0, 1, 1]",1.5827008352315868
162,07030302,"[0, 2, 1]",1.530810245687402
163,07030305,"[0, 1]",1.58557362574765
164,07030401,"[2, 0, 0, 1]",1.6319862974593207
165,07030403,"[0, 1, 2]",1.7388750000000002
166,07030501,"[0, 1, 0, 2, 0, 0, 0]",1.577236969524352
167,07030503,"[0, 2, 1]",1.581877457965232
168,07030601,"[1, 2, 0]",1.5976685681688532
169,07040101,"[1, 1, 2, 1, 0, 1, 1]",1.5980951951677405
170,07040102,"[1, 2, 2, 1, 2, 0]",1.5693341980364859
171,07040103,"[0, 2, 0, 1, 0]",1.5845787439613526
172,07040104,"[2, 2, 2, 1, 2, 0, 2]",1.579912324177731
173,07040201,"[1, 0, 2, 0]",1.5887514445391684
174,07040202,"[0, 2, 0, 1]",1.5911716077537057
175,07040203,"[0, 1, 2, 1]",1.5818254719065656
176,07040301,"[0, 1, 1, 1, 1, 1, 2, 1, 1]",1.584836671242387
177,07040302,"[2, 0, 0, 1, 0]",1.6104466979550787
178,07050101,"[0, 0, 0, 2, 1, 0]",1.5656814502144027
179,07050102,"[0, 2, 1, 0, 2]",1.5536140363326711
180,07050103,"[0, 1, 0, 2, 0]",1.5758833443750395
181,07050201,"[2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1.595228957662944
182,07050202,"[0, 2, 2, 2, 1]",1.5929618273436015
183,07050301,"[0, 0, 2, 0, 1]",1.5819665799596418
184,07050302,"[0, 1]",1.4980390104662225
185,07050303,"[0, 2, 1, 2, 2]",1.6872719406674905
186,07060101,"[0, 0, 0, 2, 0, 1, 0, 0]",1.5894880645478817
187,07060102,"[0, 0, 2, 0, 1]",1.5593343284996684
188,07060103,"[0, 1, 0, 0, 1, 0, 2, 0]",1.5679876756885092
189,07060104,"[2, 2, 2, 0, 2, 0, 2, 2, 1]",1.5655799478181358
190,07060201,"[0, 2, 0, 0, 2, 0, 1]",1.564232675417812
191,07060202,"[2, 0, 0, 0, 1, 0]",1.6157520585544372
192,07060203,"[0, 1, 0, 0, 0, 0, 0, 0, 2]",1.5641450867052022
193,07060206,"[0, 2, 2, 1]",1.55965755764304
194,07060301,"[1, 1, 1, 1, 1, 0, 1, 1, 2, 1]",1.5663369119687225
195,07060302,"[2, 0, 1, 0, 0]",1.5463861604738827
196,07060303,"[1, 0, 0, 2, 0, 0, 0]",1.5755465149359886
197,07060304,"[0, 0, 1, 2]",1.4686289062500002
198,07070000,"[2, 0, 1]",1.5794882158176355
199,07080101,"[2, 1, 1, 1, 0, 1]",1.5807141016253017
200,07090101,"[0, 1, 2, 0, 0, 0, 0]",1.5778918966334754
201,07090103,"[2, 1, 0, 1, 1]",1.594110193621868
202,07090104,"[2, 0, 0, 1, 0, 0, 0, 0]",1.5836543859649121
203,07090105,"[0, 2, 1, 2, 2]",1.5782405929304448
204,07090106,"[1, 2, 0, 0, 0, 0]",1.575249312078945
205,07090107,"[1, 0, 1, 1, 0, 2, 1]",1.5812365761760627
206,07090201,"[2, 2, 0, 0, 1]",1.5853907670454546
207,07090202,"[2, 0, 2, 1]",1.5890444951511695
208,07090401,"[0, 1]",1.615591271011501
209,07090501,"[1, 0]",1.5408504432370604
210,07090502,"[2, 2, 0, 1, 0, 2, 2]",1.5656213248976554
211,07090504,"[2, 2, 0, 1, 2]",1.5233598366106205
212,07090601,"[0, 1]",1.6708407038305821
213,07090701,"[1, 0, 2, 1, 1, 1]",1.5979791785239992
214,07090702,"[2, 1, 0, 0, 0, 2]",1.6042103016505407
215,07100101,"[0, 2, 0, 0, 0, 0, 1]",1.5974207425467113
216,07100201,"[2, 2, 0, 1]",1.6072032346832814
217,07100301,"[0, 2, 0, 0, 0, 1]",1.5890054038680317
218,07110101,"[0, 1, 0, 0, 2]",1.5932713405131254
219,07110301,"[0, 0, 2, 0, 1]",1.577822620399281
220,07120101,"[0, 1, 0, 0, 2]",1.5725699380785392
221,07120201,"[2, 1, 0, 0, 0, 0, 0]",1.5789182627555618
222,07120301,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 1]",1.571937275094697
223,07120302,"[0, 1]",1.5106608260325407
224,07120303,"[0, 2, 0, 0, 0, 1]",1.7035499999999997
225,07120304,"[1, 1, 2, 0, 1, 1]",1.5638342282461286
226,07130101,"[0, 0, 0, 0, 0, 0, 2, 0, 1]",1.5789098469902527
227,07130102,"[2, 2, 2, 2, 1, 2, 0]",1.6141951566951567
228,07130201,"[0, 0, 1, 0, 2, 0]",1.5616277225878974
229,07130203,"[1, 1, 2, 1, 1, 0, 1]",1.5935034158838597
230,07130204,"[2, 2, 0, 2, 1]",1.5753035699646865
231,07130205,"[0, 1, 0, 2]",1.5354300847457631
232,07130301,"[2, 0, 1, 1]",1.591875746329196
233,07130302,"[2, 1, 2, 2, 2, 0]",1.6013737186788153
234,07130305,"[0, 2, 0, 2, 2, 1, 0]",1.6336099715099714
235,07140101,"[1, 2, 1, 1, 0]",1.5730150566391925
236,07140201,"[1, 1, 0, 2]",1.5800397539753976
237,07140204,"[0, 0, 0, 0, 1, 2, 0]",1.5727797500710026
238,07140301,"[0, 2, 0, 1, 0]",1.5891767278156996
239,07140302,"[0, 0, 0, 2, 0, 0, 1, 0, 0]",1.566101385903969
240,07140303,"[0, 0, 2, 1, 0]",1.569050898203593
241,08010101,"[2, 0, 0, 2, 1, 0]",1.627622620823722
242,08010102,"[1, 0]",1.5971489604101397
243,08010111,"[1, 0]",1.611616568914956
244,08010201,"[2, 1, 0, 0, 0, 0]",1.570190614251002
245,08010202,"[1, 2, 0, 1, 1, 1]",1.5372162408759127
246,08010203,"[1, 1, 2, 0]",1.6004770378874855
247,08010401,"[1, 0, 1, 2]",1.551742958748222
248,08010501,[0],1.6197066210045663
249,08020101,"[0, 0, 1, 0, 0, 2, 0, 2, 2, 0, 0, 0]",1.5916005920709775
250,08020102,"[0, 2, 0, 1]",1.5803503647906005
251,08020103,"[0, 2, 0, 1, 0]",1.5774405389572348
252,08020106,"[2, 0, 2, 1, 2, 2]",1.6314958333333331
253,08020201,"[1, 2, 0, 2]",1.5545907124314968
254,08020203,"[0, 1]",1.525348467487826
255,08020205,"[1, 0, 0, 2, 0, 0]",1.522845014245014
256,08020206,"[0, 1, 2, 0, 1, 0]",1.572831132879046
257,08020301,"[1, 2, 1, 0]",1.581996504992867
258,08020302,"[2, 0, 1]",1.8547000000000002
259,08020303,"[0, 0, 2, 1, 0]",1.5774506424318397
260,08020304,"[0, 1]",1.583255197348599
261,08020401,"[1, 1, 1, 2, 0]",1.5762600398746796
262,08020402,"[1, 1, 0, 1, 2]",1.4690505952380952
263,08020403,"[1, 2, 1, 1, 0, 0]",1.5661677107061505
264,08020404,"[2, 1, 0]",1.579033409480297
265,08020405,"[1, 1, 2, 1, 0]",1.8704306569343068
266,08030101,"[1, 0, 1, 2, 1, 1, 0]",1.5984532881268039
267,08030104,"[1, 2, 0]",1.5206742909423605
268,08030105,"[0, 1, 2]",1.630065040650407
269,08030201,"[1, 0, 1, 2]",1.5868028095238094
270,08030202,"[0, 0, 1, 2, 0]",1.6153932584269661
271,08030203,"[0, 0, 0, 1, 2]",1.5480338885697875
272,08030204,"[0, 1, 2, 1, 0, 0]",1.518963176574978
273,08030205,"[1, 0, 2, 0, 0]",1.6627062868369353
274,08030301,"[1, 0, 0, 2]",1.614128930369526
275,08030302,"[1, 1, 2, 1, 1, 1, 0, 1, 1]",1.5512733598409545
276,08030303,"[2, 2, 1, 0, 2]",1.6390219310737681
277,09010101,"[1, 0, 2, 0, 0, 2]",1.6109436167531965
278,09010106,"[1, 0, 2]",1.5768229937393285
279,09010109,"[0, 0, 2, 1]",1.6036680011438376
280,09010110,[0],1.5374290657439447
281,09010201,"[0, 2, 1]",1.6250668563300144
282,09010202,"[0, 2, 1]",1.5894027027027027
283,09010204,"[0, 1, 2, 0]",1.604829254410928
284,09010205,"[2, 1, 2, 0]",1.5500283018867926
285,09010301,"[1, 0]",1.6310171919770773
286,09010408,[0],1.6123437677859989
287,09010409,"[0, 1]",1.6092412467976087
288,09010410,"[0, 1]",1.6805483870967743
289,09010415,[0],1.628195041322314
290,09010501,[0],1.6477774615822427
291,09010601,"[0, 2, 1]",1.5987075042637862
292,09010604,"[0, 0, 1, 2]",1.5135741482965932
293,09010605,"[2, 1, 0, 1]",1.5446328213879408
294,09010607,"[1, 2, 1, 1, 0]",1.5896320754716984
295,09010701,"[2, 1, 0]",1.5785657568238216
296,09020101,"[2, 0, 0, 0, 1]",1.6236307627715478
297,09020103,"[0, 0, 2, 0, 1, 0]",1.6041699829448548
298,09020106,"[0, 2, 1]",1.5182913165266105
299,09020108,"[2, 1, 0, 0]",1.6978499999999996
300,09020110,"[0, 2, 0, 1]",1.605415517241379
301,09020201,"[2, 0, 1, 0, 0, 0]",1.5709135437399298
302,09020202,"[1, 0]",1.6042467976088812
303,09020301,"[1, 0]",1.6183101364799546
304,09020401,"[1, 1, 2, 0]",1.5624429425156514
305,09020402,"[2, 2, 2, 2, 0, 1]",1.606386910292144
306,10010101,"[0, 1, 2, 0, 0, 0]",1.623461045198758
