,KALCODE,neighbors
119,02030004,"['02050110', '02030005', '02030004', '02030001', '02030011', '02010105', '02010201', '02030002', '02030014', '02030016']"
120,02030005,"['02050101', '02050106', '02050110', '02030005', '02030013', '02030004', '02030001']"
121,02030006,"['02030015', '02030003', '02030001', '02030006', '02030017', '02030007']"
122,02030007,"['02030003', '02030008', '02030006', '02030017', '02030007', '02030010']"
123,02030008,"['12010201', '12070301', '02030003', '02030008', '02030007']"
124,02030009,"['12010104', '02030009', '12010201', '02030015', '02030003', '02050107', '02050108', '02030013']"
125,02030010,"['02030001', '02030017', '02030002', '02030007', '02030010']"
126,02030011,"['02030004', '02030011', '02030002', '02030014', '02030016']"
127,02030012,"['02010201', '02030012', '02030016']"
128,02030013,"['02030009', '02030015', '02050106', '02050108', '02030005', '02030013', '02030001']"
129,02030014,"['02030004', '02030011', '02030002', '02030014', '02030016']"
130,02030015,"['02030009', '02030015', '02030003', '02030013', '02030001', '02030006']"
131,02030016,"['02030004', '02030011', '02010201', '02030012', '02030014', '02030016']"
132,02030017,"['02030001', '02030006', '02030017', '02030007', '02030010']"
133,02040101,"['02040206', '02040204', '02040207', '06010207', '02010106', '02040101', '02040102', '02040103', '02010201']"
134,02040102,"['06010207', '06010206', '02040101', '02040102', '02040103']"
135,02040103,"['06010206', '06010204', '02040101', '06010201', '06030103', '02040102', '02010202', '02040103', '02010201']"
136,02040201,"['02020206', '02020203', '02040202', '02040205', '02040201', '02040203', '02040207', '02010106']"
137,02040202,"['02020204', '02020201', '02010113', '02020206', '02020203', '02040202', '02040201', '02010102', '02010106']"
138,02040203,"['02040201', '02040203', '02040207', '02010106']"
139,02040204,"['02040205', '05020301', '02040206', '02040204', '02040207', '02010106', '02040101']"
140,02040205,"['05020308', '05010206', '02020206', '02040205', '05020301', '02040201', '02040204', '02040207']"
141,02040206,"['05020301', '02040206', '02040204', '06010207', '02040101']"
142,02040207,"['02040205', '02040201', '02040203', '02040204', '02040207', '02010106', '02040101']"
143,02050101,"['02050105', '02050205', '02050102', '02050104', '02050109', '02050101', '02050106', '02050110', '02030005']"
144,02050102,"['02050105', '02050102', '02050104', '02050101']"
145,02050103,"['02050111', '02050107', '02050103', '02050106', '02050108']"
146,02050104,"['12060103', '02050105', '02050102', '02050104', '02050111', '02050101', '02050106']"
147,02050105,"['12060205', '12060202', '12060103', '02050206', '02050204', '02050105', '02050205', '02050102', '02050104', '02050101']"
148,02050106,"['02050104', '02050111', '02050101', '02050103', '02050106', '02050108', '02030005', '02030013']"
149,02050107,"['12040103', '12040104', '12040102', '12010104', '02030009', '02050111', '02050107', '02050103', '02050108']"
150,02050108,"['02030009', '02050107', '02050103', '02050106', '02050108', '02030013']"
151,02050109,"['02050207', '02050202', '02050205', '02010110', '02050109', '02050101', '02010112', '02050110']"
152,02050110,"['02050109', '02050101', '02010112', '02050110', '02030005', '02030004', '02010105']"
153,02050111,"['12060103', '12040103', '02050104', '02050111', '02050107', '02050103', '02050106']"
154,02050201,"['12020302', '12020304', '02050203', '12060201', '02050201', '02010104', '02010103', '02050207']"
155,02050202,"['02050207', '02010111', '02050202', '02010110', '02050109']"
156,02050203,"['12020303', '12020302', '02020104', '02050203', '02050201', '02010104', '02010103']"
157,02050204,"['12060201', '12060202', '02050207', '02050204', '02050105', '02050205']"
158,02050205,"['02050207', '02050204', '02050105', '02050205', '02050109', '02050101']"
159,02050206,"['12060205', '12060202', '02050206', '02050105']"
