gasStationID,ddName_01,municipalityName_01,KOD_01,KOD_11,ddName_11,dd_population_11,municipalityCode_11,municipalityName_11,lat_11,lon_11,municipality_population_11,KOD_21,ddName_21,dd_population_21,municipalityCode_21,municipalityName_21,municipality_population_21
2298,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
3565,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
14,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1329,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
10,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
11357,Δ.Δ. Δοκιμίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030400,38030104,Τοπική Κοινότητα Δοκιμίου,1632,3803,Δήμος Αγρινίου,38.612053404,21.3777528536,92608,38020104,Δημοτική Κοινότητα Δοκιμίου,1476,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
2296,Δ.Δ. Δοκιμίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030400,38030104,Τοπική Κοινότητα Δοκιμίου,1632,3803,Δήμος Αγρινίου,38.612053404,21.3777528536,92608,38020104,Δημοτική Κοινότητα Δοκιμίου,1476,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
18,Δ.Δ. Καλυβίων,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030500,38030105,Τοπική Κοινότητα Καλυβίων,1355,3803,Δήμος Αγρινίου,38.6159937049,21.2901098371,92608,38020105,Δημοτική Κοινότητα Καλυβίων,1186,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
13586,Δ.Δ. Καλυβίων,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030500,38030105,Τοπική Κοινότητα Καλυβίων,1355,3803,Δήμος Αγρινίου,38.6159937049,21.2901098371,92608,38020105,Δημοτική Κοινότητα Καλυβίων,1186,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
9022,Δ.Δ. Καλυβίων,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030500,38030105,Τοπική Κοινότητα Καλυβίων,1355,3803,Δήμος Αγρινίου,38.6159937049,21.2901098371,92608,38020105,Δημοτική Κοινότητα Καλυβίων,1186,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1333,Δ.Δ. Καμαρούλας,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030600,38030106,Τοπική Κοινότητα Καμαρούλας,776,3803,Δήμος Αγρινίου,38.6271844437,21.4431540449,92608,38020106,Δημοτική Κοινότητα Καμαρούλας,796,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1335,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
1338,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
13907,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
3568,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
1334,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
4186,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
19,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
