,KALCODE,Result,Average_Fuel_Price
195,12030301,[0],1.687620178041543
196,12030302,[0],1.6264217557251908
197,12030405,"[0, 1]",1.7297889332572731
198,12040101,"[0, 2, 1]",1.6869630579297246
199,12040106,"[0, 1, 2]",1.6473822777619997
200,12040107,"[1, 2, 0]",1.9029697482638888
201,12040108,"[1, 0, 2]",1.7081306715063522
202,12040208,[0],2.240634517766498
203,12050101,"[0, 1]",1.8765579326923079
204,12050105,"[2, 1, 0]",1.7302358376858176
205,12060105,"[2, 0, 1]",1.6845434665226782
206,12060107,"[0, 1, 2]",1.9640299505670258
207,12060108,"[0, 2, 2, 1]",1.670333621683968
208,12060113,"[2, 1, 0]",1.7935498706524864
209,12060201,[0],1.7551117489475698
210,12070101,"[0, 0, 1, 2, 0]",1.7979372275914345
211,12070105,"[0, 1]",1.7596536115875738
212,12070401,[0],1.7207051172098342
213,12070407,[0],1.7224251774143784
214,13010101,"[0, 0, 1, 2, 0]",1.7969798417661549
215,13010102,"[2, 0, 1]",1.749464168310322
216,13010103,"[0, 1, 2, 0]",1.95
217,13010201,"[0, 2, 2, 1]",1.6917816964285717
218,13010302,"[1, 0]",1.7929545163356821
219,13010401,"[0, 1, 2]",1.93673931133429
220,13020101,"[1, 2, 0]",1.8276083110814416
221,13020103,"[1, 0]",1.8594727609811754
222,13020104,[0],1.6922426141450315
223,13020108,[0],1.7096196043165468
224,13020201,"[1, 2, 0, 0]",1.8510476190476188
225,13020204,"[1, 2, 0]",1.8607955517536354
226,13020302,"[1, 0]",1.6433237250554322
227,13030101,"[0, 2, 1, 1, 1, 1]",1.830093203117293
228,13030102,"[0, 2, 1, 0]",1.7426962847123495
229,13030104,"[1, 2, 0, 2]",1.8954994242947611
230,13030106,"[0, 1, 1, 2]",2.053606060606061
231,13030107,"[0, 1, 0, 2]",1.8006560273582217
232,13030108,"[0, 1]",2.199554474708171
233,13030205,[0],1.8354168020579475
234,13030206,"[0, 1]",1.8359459977020298
235,13040101,"[1, 0]",1.7592906190881574
236,13040102,"[0, 2, 1]",1.7743369415320676
237,13040104,"[1, 0]",1.7820582737768007
238,13040106,"[1, 0]",1.8571427377121583
239,13040109,"[1, 0]",2.0299765342960288
240,13040201,"[1, 0]",1.878917049368542
241,13040202,"[2, 1, 0]",1.7126094276094277
242,13040203,"[0, 2, 0, 1]",1.7211838770685581
243,13040301,"[0, 1]",1.93641488372093
244,13050101,"[1, 0, 2]",1.8312873919445236
245,13050102,"[1, 0, 2, 2]",1.8179855302374772
246,13050104,"[2, 1, 2, 0, 0]",1.9019943485720054
247,13050201,"[1, 0, 2]",1.7302643785229768
248,13050202,"[1, 0, 1, 2]",1.6150810810810812
249,14010101,"[1, 0, 0, 0, 2]",1.7695663034220275
250,14010105,"[1, 2, 0]",1.7007059513339198
251,14010107,"[0, 1]",1.7513698123934052
252,14010109,"[2, 2, 0, 1]",1.724008659301284
253,14010115,[0],1.7258751317175975
254,14010201,[0],1.6103825503355704
255,14010301,"[0, 2, 1, 0]",1.8956239669421486
256,14010303,"[0, 1]",1.8110048377916907
257,14010507,"[0, 0, 2, 1]",1.8885981228668942
258,14010510,[0],2.1378808567603746
259,14030102,[0],1.7243037214885952
260,14030401,"[0, 1]",1.8266575840145325
261,14030501,"[1, 0]",1.6726255707762558
262,14040101,"[0, 1]",1.789386005316043
263,14040110,"[1, 0]",1.7415319511502414
264,15010101,[0],1.844111923014521
265,15010503,[0],1.599
266,15010706,[0],1.8661283464566927
267,15010804,[0],1.8508992413466099
268,15020101,"[0, 2, 1]",1.7865221984078383
269,15020201,"[1, 0]",1.8087116259238203
270,16010101,"[2, 1, 0]",1.7978699267780076
271,16010201,"[1, 0, 2, 0]",1.781958064516129
272,16010208,"[1, 2, 0]",1.8890731356176218
273,16010401,"[0, 1]",1.7756562322140015
274,16010901,"[2, 1, 0]",1.8090948863636362
275,16020101,[0],1.8397106017191978
276,17010101,[0],1.8337053435290571
277,17010401,"[1, 0]",1.8363235294117644
278,17010412,"[0, 1]",1.8074678846702825
279,17020101,"[0, 1]",1.78604621190544
280,17020105,"[1, 0]",1.684707267144319
281,17020601,[0],1.7789939568345325
282,17030101,[0],1.719
283,18010103,"[2, 0, 1, 2, 0]",1.9117681065280938
284,18010104,"[1, 1, 1, 0, 2, 1]",1.7870130074328185
285,18010105,"[0, 0, 1, 2, 0]",1.8686310590729498
286,18010202,"[0, 1, 2, 1, 1]",1.7897672674803673
287,18010301,"[2, 1, 0, 1]",1.836599649283318
288,18010508,"[1, 2, 0]",1.8278894148020657
289,18010603,"[1, 0]",1.82416010305484
290,18030118,[0],1.7870497737556563
291,18030201,[0],1.9609623203645286
292,18040101,"[1, 2, 0]",1.70631860609832
293,18050101,"[1, 0, 0, 2]",1.8170697519475194
294,18050102,"[0, 2, 1]",1.7910831861012957
295,18050106,"[2, 0, 1, 0, 0]",1.5709025875190257
296,18050201,"[0, 2, 1]",1.9973574833174452
297,18050202,"[0, 1]",1.6656770795495823
298,18050401,[0],1.559
299,18060101,[0],1.774804662770879
300,18070101,[0],2.0985496598639455
301,18080101,"[1, 0]",1.720738023952096
302,18080107,"[2, 0, 1]",1.717940756602427
303,18080201,[0],1.8636613084112148
304,19010101,"[2, 0, 0, 1, 0, 0]",1.7996592540020262
305,19010103,"[0, 1]",1.804379546500921
306,19010104,"[1, 0, 2]",1.9187811843763127
307,19010301,"[1, 0]",2.0553558495821727
308,19010403,"[1, 0, 2]",1.8070272716317186
309,19010501,"[1, 2, 0, 1]",1.691187919463087
310,19010503,"[1, 1, 2, 0]",2.1577365728900255
311,19030102,[0],1.8968646313364057
312,19030111,[0],1.7914327934072178
313,19040201,[0],1.699644906743185
314,19040207,"[0, 1]",1.7689375000000003
315,19040401,"[0, 2, 1]",1.7929028093076051
316,20010101,"[2, 0, 1]",1.851938248564674
317,20010104,"[0, 0, 1, 2]",1.8648744836990794
318,20010107,"[0, 2, 1]",1.9225653517563954
319,20010109,"[0, 1]",1.8658094763801931
320,20010203,"[0, 1]",1.9250183798502385
321,20010205,"[0, 1]",1.805391907855877
322,20010501,"[0, 1, 1, 2]",1.7934493811413454
323,20010503,"[0, 1]",1.8101779516358463
324,20020101,"[2, 1, 0]",1.7023494702228719
325,20020109,"[0, 1]",1.925046255506608
326,20020110,"[0, 1]",2.2637009708737863
327,20020201,"[1, 0]",1.859766030534351
328,20020202,"[1, 0]",1.8627277591973246
329,20030101,"[1, 0]",1.8208122996211018
330,20030140,"[1, 0]",1.8218863232682063
331,20030204,[0],1.7625949098621418
332,21010101,"[2, 1, 0]",1.7891587559309976
333,21010103,"[0, 1, 0, 2, 0]",1.7212648521887437
334,21010104,"[1, 0, 2]",1.8123514235716986
335,21010105,"[0, 1]",1.657500493908462
336,21010201,"[1, 0, 2]",1.786658231447256
337,21010208,"[0, 2, 0, 0, 1]",1.7227811413673233
338,21020101,"[1, 1, 1, 0, 2]",1.7542412174940896
339,21020107,"[2, 1, 0]",1.641781609195402
340,21020301,"[1, 0]",1.9829090909090907
341,21030101,[0],1.8171236174675822
342,21030116,"[1, 0]",1.7901831387069207
343,21030117,"[2, 0, 1]",1.729425775368865
344,21030121,"[1, 0]",1.720822859116022
345,21030201,"[0, 1]",2.0799128630705397
346,21030204,"[0, 1]",1.9143812574493446
347,22010100,"[0, 2, 2, 2, 1, 2, 0]",1.758609745149076
348,22010201,"[2, 0, 1]",1.7742677474501627
349,22010202,"[0, 2, 1, 0]",1.6839800683371298
350,22010306,[0],1.8058991331757286
351,22020101,"[0, 1]",1.7747845780810665
352,22020104,[0],2.0195413447782546
353,22020108,[0],1.794
354,22020403,"[1, 0]",1.8836367075956593
355,22030101,"[0, 1]",1.7926673069626258
356,22030605,[0],1.702243243243243
357,22030806,[0],1.754
358,22040103,[0],1.429
359,22040301,[0],1.9510606093036533
360,22040303,"[0, 1]",1.700682242990655
361,22040501,"[1, 0]",1.7492234557358386
362,22050101,"[0, 0, 1, 2]",1.85
363,22050301,"[2, 0, 1]",1.874555555555555
364,22050402,[0],1.9028901408450707
365,22050404,"[1, 0]",1.845165680473373
366,22050501,"[1, 0]",1.8984380387420667
367,22060101,"[0, 1]",1.755935216732917
368,22060102,"[0, 1, 2]",1.8411259877085164
369,22070101,"[0, 1]",1.7711417660420217
370,22070205,[0],2.181
371,22070402,[0],1.8473167259786476
372,23010101,"[1, 1, 2, 2, 2, 0]",1.8131745482246204
373,23010105,"[1, 2, 0]",1.9006747227750924
374,23010106,"[0, 1, 2, 2]",1.7340760250569476
